time,upwelling_index,station_id,latitude,longitude
1967-01-01T00:00:00Z,48.464085,36N,36,-122
1967-01-01T06:00:00Z,48.464085,36N,36,-122
1967-01-01T12:00:00Z,50.611282,36N,36,-122
1967-01-01T18:00:00Z,33.035362,36N,36,-122
1967-01-02T00:00:00Z,33.035362,36N,36,-122
1967-01-02T06:00:00Z,110.33409,36N,36,-122
1967-01-02T12:00:00Z,44.4916,36N,36,-122
1967-01-02T18:00:00Z,9.373873,36N,36,-122
1967-01-03T00:00:00Z,6.1969347,36N,36,-122
1967-01-03T06:00:00Z,-24.143017,36N,36,-122
1967-01-03T12:00:00Z,-27.447084,36N,36,-122
1967-01-03T18:00:00Z,-43.59751,36N,36,-122
1967-01-04T00:00:00Z,-9.589759,36N,36,-122
1967-01-04T06:00:00Z,-56.553185,36N,36,-122
1967-01-04T12:00:00Z,-78.42172,36N,36,-122
1967-01-04T18:00:00Z,-55.889557,36N,36,-122
1967-01-05T00:00:00Z,-12.301505,36N,36,-122
1967-01-05T06:00:00Z,-0.1759466,36N,36,-122
1967-01-05T12:00:00Z,132.60437,36N,36,-122
1967-01-05T18:00:00Z,61.299004,36N,36,-122
1967-01-06T00:00:00Z,141.89291,36N,36,-122
1967-01-06T06:00:00Z,114.36533,36N,36,-122
1967-01-06T12:00:00Z,56.34259,36N,36,-122
1967-01-06T18:00:00Z,17.45066,36N,36,-122
1967-01-07T00:00:00Z,53.28464,36N,36,-122
1967-01-07T06:00:00Z,7.676276,36N,36,-122
1967-01-07T12:00:00Z,17.86134,36N,36,-122
1967-01-07T18:00:00Z,-15.275503,36N,36,-122
1967-01-08T00:00:00Z,-6.520916,36N,36,-122
1967-01-08T06:00:00Z,-30.972687,36N,36,-122
1967-01-08T12:00:00Z,-52.899097,36N,36,-122
1967-01-08T18:00:00Z,-67.006386,36N,36,-122
1967-01-09T00:00:00Z,-22.992546,36N,36,-122
1967-01-09T06:00:00Z,-55.55051,36N,36,-122
