time,sti
1967-01-01T00:00:00Z,30
1968-01-01T00:00:00Z,84
1969-01-01T00:00:00Z,61
1970-01-01T00:00:00Z,73
1971-01-01T00:00:00Z,18
1972-01-01T00:00:00Z,72
1973-01-01T00:00:00Z,65
1974-01-01T00:00:00Z,18
1975-01-01T00:00:00Z,67
1976-01-01T00:00:00Z,5
1977-01-01T00:00:00Z,2
1978-01-01T00:00:00Z,67
1979-01-01T00:00:00Z,56
1980-01-01T00:00:00Z,68
1981-01-01T00:00:00Z,50
1982-01-01T00:00:00Z,104
1983-01-01T00:00:00Z,89
1984-01-01T00:00:00Z,10
1985-01-01T00:00:00Z,19
1986-01-01T00:00:00Z,74
1987-01-01T00:00:00Z,72
1988-01-01T00:00:00Z,17
1989-01-01T00:00:00Z,94
1990-01-01T00:00:00Z,13
1991-01-01T00:00:00Z,63
1992-01-01T00:00:00Z,85
1993-01-01T00:00:00Z,152
1994-01-01T00:00:00Z,62
1995-01-01T00:00:00Z,81
1996-01-01T00:00:00Z,71
1997-01-01T00:00:00Z,41
1998-01-01T00:00:00Z,54
1999-01-01T00:00:00Z,83
2000-01-01T00:00:00Z,60
2001-01-01T00:00:00Z,64
2002-01-01T00:00:00Z,8
2003-01-01T00:00:00Z,75
2004-01-01T00:00:00Z,57
2005-01-01T00:00:00Z,62
2006-01-01T00:00:00Z,102
2007-01-01T00:00:00Z,3
2008-01-01T00:00:00Z,12
2009-01-01T00:00:00Z,64
2010-01-01T00:00:00Z,62
2011-01-01T00:00:00Z,2
2012-01-01T00:00:00Z,41
2013-01-01T00:00:00Z,5
2014-01-01T00:00:00Z,68
2015-01-01T00:00:00Z,40
2016-01-01T00:00:00Z,73
2017-01-01T00:00:00Z,85
2018-01-01T00:00:00Z,28
2019-01-01T00:00:00Z,46
2020-01-01T00:00:00Z,28
2021-01-01T00:00:00Z,14
2022-01-01T00:00:00Z,12
,15
