time,sti
1967-01-01T00:00:00Z,19
1968-01-01T00:00:00Z,24
1969-01-01T00:00:00Z,7
1970-01-01T00:00:00Z,10
1971-01-01T00:00:00Z,1
1972-01-01T00:00:00Z,16
1973-01-01T00:00:00Z,1
1974-01-01T00:00:00Z,16
1975-01-01T00:00:00Z,3
1976-01-01T00:00:00Z,22
1977-01-01T00:00:00Z,2
1978-01-01T00:00:00Z,16
1979-01-01T00:00:00Z,8
1980-01-01T00:00:00Z,48
1981-01-01T00:00:00Z,23
1982-01-01T00:00:00Z,11
1983-01-01T00:00:00Z,35
1984-01-01T00:00:00Z,5
1985-01-01T00:00:00Z,7
1986-01-01T00:00:00Z,13
1987-01-01T00:00:00Z,1
1988-01-01T00:00:00Z,5
1989-01-01T00:00:00Z,3
1990-01-01T00:00:00Z,1
1991-01-01T00:00:00Z,6
1992-01-01T00:00:00Z,5
1993-01-01T00:00:00Z,18
1994-01-01T00:00:00Z,1
1995-01-01T00:00:00Z,25
1996-01-01T00:00:00Z,1
1997-01-01T00:00:00Z,1
1998-01-01T00:00:00Z,39
1999-01-01T00:00:00Z,11
2000-01-01T00:00:00Z,1
2001-01-01T00:00:00Z,6
2002-01-01T00:00:00Z,7
2003-01-01T00:00:00Z,44
2004-01-01T00:00:00Z,14
2005-01-01T00:00:00Z,10
2006-01-01T00:00:00Z,1
2007-01-01T00:00:00Z,2
2008-01-01T00:00:00Z,27
2009-01-01T00:00:00Z,1
2010-01-01T00:00:00Z,21
2011-01-01T00:00:00Z,6
2012-01-01T00:00:00Z,1
2013-01-01T00:00:00Z,4
2014-01-01T00:00:00Z,6
2015-01-01T00:00:00Z,29
2016-01-01T00:00:00Z,5
2017-01-01T00:00:00Z,1
2018-01-01T00:00:00Z,1
2019-01-01T00:00:00Z,16
2020-01-01T00:00:00Z,1
2021-01-01T00:00:00Z,21
2022-01-01T00:00:00Z,2
