time,lusi
1967-01-01T00:00:00Z,185
1968-01-01T00:00:00Z,190
1969-01-01T00:00:00Z,142
1970-01-01T00:00:00Z,212
1971-01-01T00:00:00Z,140
1972-01-01T00:00:00Z,201
1973-01-01T00:00:00Z,178
1974-01-01T00:00:00Z,197
1975-01-01T00:00:00Z,192
1976-01-01T00:00:00Z,178
1977-01-01T00:00:00Z,188
1978-01-01T00:00:00Z,139
1979-01-01T00:00:00Z,141
1980-01-01T00:00:00Z,159
1981-01-01T00:00:00Z,58
1982-01-01T00:00:00Z,170
1983-01-01T00:00:00Z,196
1984-01-01T00:00:00Z,123
1985-01-01T00:00:00Z,158
1986-01-01T00:00:00Z,136
1987-01-01T00:00:00Z,133
1988-01-01T00:00:00Z,113
1989-01-01T00:00:00Z,181
1990-01-01T00:00:00Z,117
1991-01-01T00:00:00Z,120
1992-01-01T00:00:00Z,150
1993-01-01T00:00:00Z,120
1994-01-01T00:00:00Z,126
1995-01-01T00:00:00Z,164
1996-01-01T00:00:00Z,134
1997-01-01T00:00:00Z,78
1998-01-01T00:00:00Z,193
1999-01-01T00:00:00Z,169
2000-01-01T00:00:00Z,123
2001-01-01T00:00:00Z,113
2002-01-01T00:00:00Z,139
2003-01-01T00:00:00Z,134
2004-01-01T00:00:00Z,140
2005-01-01T00:00:00Z,128
2006-01-01T00:00:00Z,196
2007-01-01T00:00:00Z,155
2008-01-01T00:00:00Z,180
2009-01-01T00:00:00Z,162
2010-01-01T00:00:00Z,152
2011-01-01T00:00:00Z,126
2012-01-01T00:00:00Z,165
2013-01-01T00:00:00Z,135
2014-01-01T00:00:00Z,120
2015-01-01T00:00:00Z,120
2016-01-01T00:00:00Z,127
2017-01-01T00:00:00Z,90
2018-01-01T00:00:00Z,145
2019-01-01T00:00:00Z,119
2020-01-01T00:00:00Z,62
2021-01-01T00:00:00Z,164
2022-01-01T00:00:00Z,126
