time,sti
1967-01-01T00:00:00Z,83
1968-01-01T00:00:00Z,85
1969-01-01T00:00:00Z,98
1970-01-01T00:00:00Z,73
1971-01-01T00:00:00Z,103
1972-01-01T00:00:00Z,103
1973-01-01T00:00:00Z,66
1974-01-01T00:00:00Z,98
1975-01-01T00:00:00Z,83
1976-01-01T00:00:00Z,102
1977-01-01T00:00:00Z,74
1978-01-01T00:00:00Z,67
1979-01-01T00:00:00Z,65
1980-01-01T00:00:00Z,77
1981-01-01T00:00:00Z,84
1982-01-01T00:00:00Z,105
1983-01-01T00:00:00Z,92
1984-01-01T00:00:00Z,112
1985-01-01T00:00:00Z,45
1986-01-01T00:00:00Z,86
1987-01-01T00:00:00Z,73
1988-01-01T00:00:00Z,29
1989-01-01T00:00:00Z,95
1990-01-01T00:00:00Z,79
1991-01-01T00:00:00Z,71
1992-01-01T00:00:00Z,120
1993-01-01T00:00:00Z,155
1994-01-01T00:00:00Z,63
1995-01-01T00:00:00Z,101
1996-01-01T00:00:00Z,116
1997-01-01T00:00:00Z,78
1998-01-01T00:00:00Z,72
1999-01-01T00:00:00Z,89
2000-01-01T00:00:00Z,74
2001-01-01T00:00:00Z,65
2002-01-01T00:00:00Z,82
2003-01-01T00:00:00Z,106
2004-01-01T00:00:00Z,61
2005-01-01T00:00:00Z,98
2006-01-01T00:00:00Z,106
2007-01-01T00:00:00Z,3
2008-01-01T00:00:00Z,14
2009-01-01T00:00:00Z,63
2010-01-01T00:00:00Z,96
2011-01-01T00:00:00Z,89
2012-01-01T00:00:00Z,110
2013-01-01T00:00:00Z,9
2014-01-01T00:00:00Z,68
2015-01-01T00:00:00Z,43
2016-01-01T00:00:00Z,83
2017-01-01T00:00:00Z,116
2018-01-01T00:00:00Z,29
2019-01-01T00:00:00Z,98
2020-01-01T00:00:00Z,32
2021-01-01T00:00:00Z,79
2022-01-01T00:00:00Z,13
,111
