time,tumi
1967-01-01T00:00:00Z,23865.494
1968-01-01T00:00:00Z,35592.336
1969-01-01T00:00:00Z,30120.035
1970-01-01T00:00:00Z,27944.736
1971-01-01T00:00:00Z,30878.512
1972-01-01T00:00:00Z,23530.188
1973-01-01T00:00:00Z,32271.104
1974-01-01T00:00:00Z,32559.51
1975-01-01T00:00:00Z,34222.242
1976-01-01T00:00:00Z,24186.688
1977-01-01T00:00:00Z,25533.326
1978-01-01T00:00:00Z,22295.479
1979-01-01T00:00:00Z,34631.03
1980-01-01T00:00:00Z,34630.574
1981-01-01T00:00:00Z,27133.766
1982-01-01T00:00:00Z,18015.096
1983-01-01T00:00:00Z,18699.229
1984-01-01T00:00:00Z,30880.049
1985-01-01T00:00:00Z,24506.559
1986-01-01T00:00:00Z,20019.78
1987-01-01T00:00:00Z,19719.25
1988-01-01T00:00:00Z,21554.752
1989-01-01T00:00:00Z,20281.729
1990-01-01T00:00:00Z,23551.49
1991-01-01T00:00:00Z,23039.232
1992-01-01T00:00:00Z,18691.27
1993-01-01T00:00:00Z,20580.13
1994-01-01T00:00:00Z,27210.096
1995-01-01T00:00:00Z,22016.166
1996-01-01T00:00:00Z,26940.637
1997-01-01T00:00:00Z,30979.611
1998-01-01T00:00:00Z,27823.893
1999-01-01T00:00:00Z,40715.67
2000-01-01T00:00:00Z,31326.98
2001-01-01T00:00:00Z,34905.715
2002-01-01T00:00:00Z,36325.41
2003-01-01T00:00:00Z,31174.607
2004-01-01T00:00:00Z,20834.092
2005-01-01T00:00:00Z,23799.523
2006-01-01T00:00:00Z,26287.035
2007-01-01T00:00:00Z,33331.312
2008-01-01T00:00:00Z,29676.963
2009-01-01T00:00:00Z,23387.674
2010-01-01T00:00:00Z,21998.682
2011-01-01T00:00:00Z,22780.89
2012-01-01T00:00:00Z,35060.24
2013-01-01T00:00:00Z,35922.297
2014-01-01T00:00:00Z,21392.938
2015-01-01T00:00:00Z,21062.652
2016-01-01T00:00:00Z,26214.758
2017-01-01T00:00:00Z,28019.752
2018-01-01T00:00:00Z,29537.807
2019-01-01T00:00:00Z,24152.193
2020-01-01T00:00:00Z,25928.732
2021-01-01T00:00:00Z,30305.174
2022-01-01T00:00:00Z,27753.389
