time,tumi
1967-01-01T00:00:00Z,5707.161
1968-01-01T00:00:00Z,5037.7344
1969-01-01T00:00:00Z,3947.232
1970-01-01T00:00:00Z,4734.571
1971-01-01T00:00:00Z,2491.437
1972-01-01T00:00:00Z,2775.95
1973-01-01T00:00:00Z,3540.3684
1974-01-01T00:00:00Z,3097.241
1975-01-01T00:00:00Z,4200.953
1976-01-01T00:00:00Z,1524.9546
1977-01-01T00:00:00Z,3418.654
1978-01-01T00:00:00Z,3046.9824
1979-01-01T00:00:00Z,4117.659
1980-01-01T00:00:00Z,5133.157
1981-01-01T00:00:00Z,1909.3933
1982-01-01T00:00:00Z,3131.7473
1983-01-01T00:00:00Z,2140.5972
1984-01-01T00:00:00Z,2424.911
1985-01-01T00:00:00Z,4363.011
1986-01-01T00:00:00Z,4082.3914
1987-01-01T00:00:00Z,3506.2297
1988-01-01T00:00:00Z,902.2917
1989-01-01T00:00:00Z,3731.1157
1990-01-01T00:00:00Z,2428.974
1991-01-01T00:00:00Z,2073.2454
1992-01-01T00:00:00Z,3761.3987
1993-01-01T00:00:00Z,2550.9204
1994-01-01T00:00:00Z,1830.6461
1995-01-01T00:00:00Z,2790.1516
1996-01-01T00:00:00Z,3863.6333
1997-01-01T00:00:00Z,1035.1107
1998-01-01T00:00:00Z,3326.206
1999-01-01T00:00:00Z,3550.1877
2000-01-01T00:00:00Z,1999.2142
2001-01-01T00:00:00Z,2765.7263
2002-01-01T00:00:00Z,2735.5386
2003-01-01T00:00:00Z,1939.8546
2004-01-01T00:00:00Z,2296.5022
2005-01-01T00:00:00Z,2731.2468
2006-01-01T00:00:00Z,5621.848
2007-01-01T00:00:00Z,2671.4573
2008-01-01T00:00:00Z,2954.081
2009-01-01T00:00:00Z,2516.7869
2010-01-01T00:00:00Z,1829.7424
2011-01-01T00:00:00Z,954.7695
2012-01-01T00:00:00Z,1482.2009
2013-01-01T00:00:00Z,1648.2156
2014-01-01T00:00:00Z,1860.8489
2015-01-01T00:00:00Z,2480.3047
2016-01-01T00:00:00Z,2195.2634
2017-01-01T00:00:00Z,1374.4407
2018-01-01T00:00:00Z,1564.3605
2019-01-01T00:00:00Z,1281.425
2020-01-01T00:00:00Z,564.6994
2021-01-01T00:00:00Z,1456.1587
2022-01-01T00:00:00Z,860.753
