time,sti
1967-01-01T00:00:00Z,43
1968-01-01T00:00:00Z,51
1969-01-01T00:00:00Z,59
1970-01-01T00:00:00Z,60
1971-01-01T00:00:00Z,1
1972-01-01T00:00:00Z,43
1973-01-01T00:00:00Z,59
1974-01-01T00:00:00Z,18
1975-01-01T00:00:00Z,44
1976-01-01T00:00:00Z,2
1977-01-01T00:00:00Z,2
1978-01-01T00:00:00Z,67
1979-01-01T00:00:00Z,16
1980-01-01T00:00:00Z,70
1981-01-01T00:00:00Z,28
1982-01-01T00:00:00Z,5
1983-01-01T00:00:00Z,82
1984-01-01T00:00:00Z,1
1985-01-01T00:00:00Z,7
1986-01-01T00:00:00Z,75
1987-01-01T00:00:00Z,3
1988-01-01T00:00:00Z,10
1989-01-01T00:00:00Z,1
1990-01-01T00:00:00Z,1
1991-01-01T00:00:00Z,35
1992-01-01T00:00:00Z,66
1993-01-01T00:00:00Z,54
1994-01-01T00:00:00Z,1
1995-01-01T00:00:00Z,73
1996-01-01T00:00:00Z,52
1997-01-01T00:00:00Z,26
1998-01-01T00:00:00Z,48
1999-01-01T00:00:00Z,5
2000-01-01T00:00:00Z,58
2001-01-01T00:00:00Z,65
2002-01-01T00:00:00Z,7
2003-01-01T00:00:00Z,23
2004-01-01T00:00:00Z,57
2005-01-01T00:00:00Z,53
2006-01-01T00:00:00Z,1
2007-01-01T00:00:00Z,2
2008-01-01T00:00:00Z,27
2009-01-01T00:00:00Z,1
2010-01-01T00:00:00Z,58
2011-01-01T00:00:00Z,4
2012-01-01T00:00:00Z,2
2013-01-01T00:00:00Z,1
2014-01-01T00:00:00Z,1
2015-01-01T00:00:00Z,40
2016-01-01T00:00:00Z,23
2017-01-01T00:00:00Z,52
2018-01-01T00:00:00Z,9
2019-01-01T00:00:00Z,65
2020-01-01T00:00:00Z,1
2021-01-01T00:00:00Z,1
2022-01-01T00:00:00Z,4
