time,lusi
1967-01-01T00:00:00Z,278
1968-01-01T00:00:00Z,217
1969-01-01T00:00:00Z,273
1970-01-01T00:00:00Z,219
1971-01-01T00:00:00Z,333
1972-01-01T00:00:00Z,234
1973-01-01T00:00:00Z,244
1974-01-01T00:00:00Z,305
1975-01-01T00:00:00Z,299
1976-01-01T00:00:00Z,355
1977-01-01T00:00:00Z,322
1978-01-01T00:00:00Z,299
1979-01-01T00:00:00Z,238
1980-01-01T00:00:00Z,268
1981-01-01T00:00:00Z,249
1982-01-01T00:00:00Z,189
1983-01-01T00:00:00Z,213
1984-01-01T00:00:00Z,296
1985-01-01T00:00:00Z,298
1986-01-01T00:00:00Z,271
1987-01-01T00:00:00Z,238
1988-01-01T00:00:00Z,348
1989-01-01T00:00:00Z,272
1990-01-01T00:00:00Z,353
1991-01-01T00:00:00Z,285
1992-01-01T00:00:00Z,277
1993-01-01T00:00:00Z,177
1994-01-01T00:00:00Z,282
1995-01-01T00:00:00Z,238
1996-01-01T00:00:00Z,250
1997-01-01T00:00:00Z,272
1998-01-01T00:00:00Z,257
1999-01-01T00:00:00Z,227
2000-01-01T00:00:00Z,260
2001-01-01T00:00:00Z,249
2002-01-01T00:00:00Z,298
2003-01-01T00:00:00Z,234
2004-01-01T00:00:00Z,303
2005-01-01T00:00:00Z,270
2006-01-01T00:00:00Z,239
2007-01-01T00:00:00Z,333
2008-01-01T00:00:00Z,347
2009-01-01T00:00:00Z,279
2010-01-01T00:00:00Z,268
2011-01-01T00:00:00Z,360
2012-01-01T00:00:00Z,275
2013-01-01T00:00:00Z,360
2014-01-01T00:00:00Z,220
2015-01-01T00:00:00Z,292
2016-01-01T00:00:00Z,214
2017-01-01T00:00:00Z,281
2018-01-01T00:00:00Z,294
2019-01-01T00:00:00Z,288
2020-01-01T00:00:00Z,331
2021-01-01T00:00:00Z,278
2022-01-01T00:00:00Z,322
