time,lusi
1967-01-01T00:00:00Z,336.00
1968-01-01T00:00:00Z,341.00
1969-01-01T00:00:00Z,357.00
1970-01-01T00:00:00Z,355.00
1971-01-01T00:00:00Z,349.00
1972-01-01T00:00:00Z,350.00
1973-01-01T00:00:00Z,365.00
1974-01-01T00:00:00Z,342.00
1975-01-01T00:00:00Z,363.00
1976-01-01T00:00:00Z,310.00
1977-01-01T00:00:00Z,352.00
1978-01-01T00:00:00Z,326.00
1979-01-01T00:00:00Z,324.00
1980-01-01T00:00:00Z,282.00
1981-01-01T00:00:00Z,343.00
1982-01-01T00:00:00Z,351.00
1983-01-01T00:00:00Z,322.00
1984-01-01T00:00:00Z,347.00
1985-01-01T00:00:00Z,341.00
1986-01-01T00:00:00Z,351.00
1987-01-01T00:00:00Z,348.00
1988-01-01T00:00:00Z,361.00
1989-01-01T00:00:00Z,363.00
1990-01-01T00:00:00Z,356.00
1991-01-01T00:00:00Z,349.00
1992-01-01T00:00:00Z,361.00
1993-01-01T00:00:00Z,334.00
1994-01-01T00:00:00Z,364.00
1995-01-01T00:00:00Z,341.00
1996-01-01T00:00:00Z,348.00
1997-01-01T00:00:00Z,336.00
1998-01-01T00:00:00Z,319.00
1999-01-01T00:00:00Z,338.00
2000-01-01T00:00:00Z,350.00
2001-01-01T00:00:00Z,353.00
2002-01-01T00:00:00Z,359.00
2003-01-01T00:00:00Z,287.00
2004-01-01T00:00:00Z,348.00
2005-01-01T00:00:00Z,356.00
2006-01-01T00:00:00Z,365.00
2007-01-01T00:00:00Z,363.00
2008-01-01T00:00:00Z,339.00
2009-01-01T00:00:00Z,365.00
2010-01-01T00:00:00Z,345.00
2011-01-01T00:00:00Z,360.00
2012-01-01T00:00:00Z,365.00
2013-01-01T00:00:00Z,339.00
2014-01-01T00:00:00Z,322.00
2015-01-01T00:00:00Z,336.00
2016-01-01T00:00:00Z,356.00
2017-01-01T00:00:00Z,365.00
2018-01-01T00:00:00Z,365.00
2019-01-01T00:00:00Z,335.00
2020-01-01T00:00:00Z,365.00
2021-01-01T00:00:00Z,342.00
2022-01-01T00:00:00Z,345.55
