time,tumi
1967-01-01T00:00:00Z,17136.447
1968-01-01T00:00:00Z,18825.115
1969-01-01T00:00:00Z,17219.63
1970-01-01T00:00:00Z,20791.846
1971-01-01T00:00:00Z,12948.162
1972-01-01T00:00:00Z,15740.569
1973-01-01T00:00:00Z,22014.402
1974-01-01T00:00:00Z,18111.031
1975-01-01T00:00:00Z,20035.402
1976-01-01T00:00:00Z,15560.373
1977-01-01T00:00:00Z,18670.834
1978-01-01T00:00:00Z,17605.648
1979-01-01T00:00:00Z,12796.713
1980-01-01T00:00:00Z,17247.053
1981-01-01T00:00:00Z,12587.243
1982-01-01T00:00:00Z,12710.717
1983-01-01T00:00:00Z,8767.382
1984-01-01T00:00:00Z,10365.242
1985-01-01T00:00:00Z,11654.947
1986-01-01T00:00:00Z,9457.559
1987-01-01T00:00:00Z,12335.412
1988-01-01T00:00:00Z,10319.557
1989-01-01T00:00:00Z,14366.756
1990-01-01T00:00:00Z,11769.536
1991-01-01T00:00:00Z,15987.885
1992-01-01T00:00:00Z,12618.757
1993-01-01T00:00:00Z,13479.481
1994-01-01T00:00:00Z,12344.115
1995-01-01T00:00:00Z,12563.115
1996-01-01T00:00:00Z,15823.736
1997-01-01T00:00:00Z,14775.175
1998-01-01T00:00:00Z,21623.701
1999-01-01T00:00:00Z,32776.547
2000-01-01T00:00:00Z,28397.566
2001-01-01T00:00:00Z,37670.25
2002-01-01T00:00:00Z,35755.48
2003-01-01T00:00:00Z,35442.574
2004-01-01T00:00:00Z,13849.239
2005-01-01T00:00:00Z,15137.811
2006-01-01T00:00:00Z,24917.064
2007-01-01T00:00:00Z,19040.18
2008-01-01T00:00:00Z,23152.389
2009-01-01T00:00:00Z,17909.834
2010-01-01T00:00:00Z,16661.645
2011-01-01T00:00:00Z,15528.3125
2012-01-01T00:00:00Z,21607.352
2013-01-01T00:00:00Z,29258.688
2014-01-01T00:00:00Z,25301.203
2015-01-01T00:00:00Z,26234.352
2016-01-01T00:00:00Z,22812.057
2017-01-01T00:00:00Z,21244.781
2018-01-01T00:00:00Z,23008.223
2019-01-01T00:00:00Z,23132.922
2020-01-01T00:00:00Z,25505.71
2021-01-01T00:00:00Z,28805.615
2022-01-01T00:00:00Z,17502.871
