time,southern_biomass_anomaly,northern_biomass_anomaly
1996-05-01T00:00:00Z,0.33576146,-1.1996694
1996-06-01T00:00:00Z,0.12807971,-0.41004443
1996-07-01T00:00:00Z,-0.12393094,0.004102181
1996-08-01T00:00:00Z,-0.0372881,-0.27623528
1996-09-01T00:00:00Z,0.004776228,0.15622136
1996-10-01T00:00:00Z,-0.0901966,0.33378983
1996-11-01T00:00:00Z,-0.002482479,0.011035897
1996-12-01T00:00:00Z,-0.006866162,0.37853408
1997-02-01T00:00:00Z,-0.00544437,0.10430244
1997-03-01T00:00:00Z,-0.07592368,0.329075
1997-04-01T00:00:00Z,0.087174214,-0.1479594
1997-05-01T00:00:00Z,-0.14317559,0.090586215
1997-06-01T00:00:00Z,-0.1288314,-0.8169944
1997-07-01T00:00:00Z,0.060830172,-0.37406114
1997-08-01T00:00:00Z,0.1879082,-0.3555964
1997-09-01T00:00:00Z,0.386304,-0.63996196
1997-10-01T00:00:00Z,0.29869783,-1.2716268
1997-11-01T00:00:00Z,0.25847307,-0.5648141
1997-12-01T00:00:00Z,0.032378282,-0.9435326
1998-01-01T00:00:00Z,0.12948646,-0.810126
1998-03-01T00:00:00Z,0.24927633,-0.9833083
1998-04-01T00:00:00Z,0.22445199,-1.1475594
1998-05-01T00:00:00Z,0.39948368,-0.985736
1998-06-01T00:00:00Z,0.5601427,-1.1712888
1998-07-01T00:00:00Z,0.68544126,-0.5918367
1998-08-01T00:00:00Z,0.69105446,-0.8698297
1998-09-01T00:00:00Z,0.51730955,-0.2068703
1998-10-01T00:00:00Z,0.14347562,-0.19632685
1998-11-01T00:00:00Z,0.1741342,0.40795258
1998-12-01T00:00:00Z,-0.14324394,-0.45566592
1999-02-01T00:00:00Z,-0.07369993,0.18303578
1999-03-01T00:00:00Z,-0.058145907,-0.6103917
1999-04-01T00:00:00Z,-0.078549854,-0.4831594
1999-05-01T00:00:00Z,-0.21557744,0.043297324
1999-06-01T00:00:00Z,-0.26479807,0.31360558
1999-07-01T00:00:00Z,-0.20264094,-0.19485448
1999-08-01T00:00:00Z,-0.24868254,-0.004518621
1999-09-01T00:00:00Z,-0.36751822,0.019871358
