year,ZALOPHUS.PUPCT,ZALOPHUS.PUPWT,ZALOPHUS.PUPGROWTH,SBRD.ASSP.PROD,SBRD.BRCO.PROD,SBRD.CAAU.PROD,SBRD.COMU.PROD,SBRD.PECO.PROD,SBRD.PIGO.PROD,SBRD.RHAU.PROD,SBRD.WEGO.PROD,rreas.adu.anchovy,rreas.adu.sardine,rreas.all.yoy.rockfish,rreas.krill,rreas.market.squid,rreas.myctophids,rreas.octopus,rreas.yoy.anchovy,rreas.yoy.bocaccio,rreas.yoy.chili,rreas.yoy.hake,rreas.yoy.halfbanded,rreas.yoy.lingcod,rreas.yoy.pacdabs,rreas.yoy.sardine,rreas.yoy.shortbelly,rreas.yoy.speckdabs,rreas.yoy.widow,rreas.yoy.ytail,calcofi.bathylagoides.wesethi,calcofi.bathylagus.pacificus,calcofi.ceratoscopelus.townsendi,calcofi.engraulis.mordax,calcofi.leuroglossus.stilbius,calcofi.lipolagus.ochotensis,calcofi.merluccius.productus,calcofi.protomyctophum.crockeri,calcofi.sardinops.sagax,calcofi.stenobrachius.leucopsarus,calcofi.symbolophorus.californiensis,calcofi.tarletonbeania.crenularis,calcofi.triphoturus.mexicanus,calcofi.vinciguerria1
1975,,,,-0.0413554,-0.3668779,-0.043932144,0.20182924,0.475728155,0.38520479,,0.748212321,,,,,,,,,,,,,,,,,,,,2.125983327,0.259926157,0.728199024,611.9452197,38.11081527,12.5578259,107.9234746,4.143303164,,24.73602571,1.362636101,5.576954439,0.761238091,0.044276867
1976,,,,0.08125131,-0.8350004,-0.077696825,0.060647056,-0.980582524,-0.2438005,,0.16460396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,-0.2102802,0.03015958,0.013321009,0.10965034,1.116504854,0.74565803,,0.400440044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,-0.0004865,-1.4650683,-0.05453458,-0.031531844,-0.961165049,-0.5741154,,0.038985149,,,,,,,,,,,,,,,,,,,,11.00319408,0.804546878,1.997200421,504.5664836,46.88994816,26.93882612,42.68742747,7.205356921,0.264858248,29.68956043,3.588059189,0.713835432,0.958449076,4.061216925
1979,,,,0.07307753,0.37313889,0.138810352,0.153311595,0.980582524,0.67312158,,0.538778878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,0.03765781,0.26563335,-0.133699435,0.20236113,-0.980582524,-0.0487601,,0.455170517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,0.08125131,-0.0584867,0.014299696,0.191607696,1.27184466,0.51801802,,-0.072951045,,,,,,,,,,,,,,,,,,,,4.242207343,0.57786228,4.907176748,639.1617471,57.55386186,8.209826427,20.21366597,8.232563818,0.754583499,32.50319335,3.482317692,0.912321632,2.510712428,2.237600372
1982,,,,0.11394643,-0.2383752,-0.030937364,0.202615513,-0.825242718,-0.1832451,,0.635176018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,0.08942509,-1.4632359,-0.46253806,-0.666816983,-0.961165049,-0.7916783,,-0.378987899,,,10.72639254,,,,,,,,9.495805768,,,,,11.12762482,NA,5.95622983,5.156628805,1.178502797,0.737535698,1.051249869,288.847431,40.21424867,4.920841875,9.541237152,4.489989128,,17.58235321,5.420375994,0.191897553,0.734635915,1.077533716
1984,,,,0.01041187,-0.2554784,0.003534145,0.028918644,-0.281553398,0.28030092,,-0.282178218,,,12.32463621,,,,,,8.812190485,8.762826277,14.54130284,5.954644129,3.703479801,,,12.35417812,NA,7.038649029,6.181044203,0.338963746,0.642918816,0.903015467,255.7580007,25.47324688,6.225966734,3.155663973,5.147673344,4.545788288,21.92004452,1.717259129,0.093404151,3.499785283,5.964260858
1985,,,,0.28287124,1.43865007,-0.052957808,0.105071458,1.019417476,0.44511006,,0.634350935,,,10.48666157,,,,,,2.763431265,,13.29662128,,,,,10.85729627,NA,8.828465758,6.664379373,1.932500912,0.138224725,2.542644432,219.9451577,44.72960746,4.450465724,52.77495451,4.274021273,47.79367466,60.38653225,4.956593355,1.120184917,1.936334673,1.548671941
1986,,,,0.18206128,-0.110636,0.015332753,0.034561306,-0.922330097,-0.7922355,-0.017283951,0.314425193,,,11.73334182,,,,,,7.65697498,7.468661912,12.56290581,1.506385302,5.12434417,,,11.7329838,NA,4.148347804,3.809403001,1.793944484,0.564948911,4.025769742,507.8024119,25.68150278,3.788183957,387.1914975,3.971458349,25.48630104,28.65108141,2.312605759,1.985897082,1.899519911,4.837590094
1987,,,,0.16298912,0.28609605,-0.007122662,0.159648027,1.524271845,0.59928485,-0.150617284,0.467065457,,,10.34599418,,,,,,5.747062049,8.866561453,14.70965369,2.734897193,5.012338519,8.198952023,,10.28417403,7.076445672,6.949017968,4.848533258,4.089379124,0.826496188,3.883011681,1241.133152,37.83458973,20.49746689,23.32575196,5.131265393,35.54871538,62.33031879,4.360237705,0.358608273,2.447907928,6.218305224
1988,,,,-0.0686013,0.25059174,0.186331013,0.197851626,0.398058252,0.16606297,0.358024691,0.591790429,,,12.53380492,,,,,,5.109110757,10.51388247,13.68379243,,4.74568657,6.924023879,,12.43217878,6.067367583,6.747696021,4.857906588,2.905573977,0.416503218,2.599319404,279.7309721,51.31979903,25.96086696,155.8271627,4.771050856,32.5169221,36.94726864,2.645742368,0.456938687,0.823921542,10.19488088
1989,,,,-0.3737558,-0.0915477,-0.165724228,0.154444753,-1,-0.3083496,0.214814815,0.32769527,,,7.621980355,,,,,,3.761225698,4.372440114,9.334448111,1.711635831,1.137398023,6.130851274,,7.403882062,6.496734921,3.704204201,3.913543489,1.56775714,0.587205756,1.464150652,193.843471,33.60928332,8.452613293,82.34993983,6.094211969,117.3591359,31.24154347,2.668614546,1.799566028,1.011503992,1.099420836
