Year,Month,Area,Max,x,y
1975,2,1613071.069,1022.593506,27.92090395,25.14689266
1975,3,6482674.903,1025.816528,16.32436472,28.46786248
1975,4,7810526.404,1030.134033,17.89068323,29.56024845
1975,5,5851952.794,1024.76355,19.08306189,29.51954397
1975,6,6080399.62,1028.647461,16.32049307,31.67334361
1975,7,5578308.415,1025.5448,15.58123953,31.88442211
1975,8,5637800.371,1027.615601,16.23558484,32.25205931
1975,9,3866058.4,1024.314331,18.26635514,32.3364486
1975,10,4862609.207,1023.159912,16.47572816,29.75339806
1975,11,4045295.718,1024.374512,21.83870968,29.51843318
1975,12,3565548.878,1024.92627,25.40419948,28.93963255
1976,1,3293805.719,1026.119019,25.55742297,30.41176471
1976,2,5099692.886,1023.933105,19.57620818,29.33271375
1976,3,4968124.533,1026.25769,20.82287823,30.93173432
1976,4,6023045.005,1026.348145,16.58038585,28.29581994
1976,5,6642413.561,1026.728882,17.74927954,30.29682997
1976,6,5050322.063,1026.23584,16.17059891,32.75680581
1976,7,4658908.268,1025.09729,15.38323353,31.03792415
1976,8,4793516.075,1024.434082,15.09788868,32.65834933
1976,9,112185.1655,1019.40979,22.63636364,32.45454545
1976,10,667356.298,1021.11377,27.69662921,35.42696629
1976,11,506767.0762,1020.734558,30.63636364,31.18181818
1976,12,2004656.036,1021.783997,26.66812227,30.22270742
1977,1,1015369.919,1021.147888,29.35245902,30.95081967
1977,2,3718700.546,1025.409302,24.05329949,26.65228426
1977,3,7401380.743,1033.276978,17.7373212,30.16644993
1977,4,6741465.17,1024.928955,18.18323864,30.07102273
1977,5,6382063.688,1025.77417,16.50074738,30.10911809
1977,6,4914467.149,1024.742676,18.0245283,31.43207547
1977,7,5593370.269,1027.055176,16.8692053,32.48675497
1977,8,2375287.012,1022.072449,18.23897059,32.23897059
1977,9,2468112.071,1024.209717,11.09655172,35.17931034
1977,10,2680540.823,1022.315857,19.75333333,29.95333333
1977,11,2607401.239,1023.528198,24.62847222,29.89236111
1977,12,32451.41275,1018.107483,33.125,26.875
1978,1,0,1019.051392,34,23.5
1978,2,65982.12716,1018.733337,33.15384615,25
1978,3,1030522.496,1021.106873,8.369747899,26.47058824
1978,4,5325812.626,1025.486816,15.71704745,31.01757469
1978,5,6140147.123,1027.764526,17.90519878,31.55810398
1978,6,6041228.093,1028.990967,17.30232558,31.99379845
1978,7,4921377.765,1027.900146,15.7606679,33.0890538
1978,8,4709784.077,1025.903564,15.70291262,33.09514563
1978,9,2788090.332,1022.19812,13.46153846,31.23397436
1978,10,2253931.244,1023.026489,23.09125475,34.45627376
1978,11,3741646.019,1025.801758,23.27980535,32.57420925
1978,12,5688003.32,1025.950562,17.35784314,32.43627451
1979,1,612234.1674,1020.518616,11.53164557,27.53164557
1979,2,4563200.677,1023.484619,18.67291667,28.07916667
1979,3,3084593.177,1022.325867,20.6257485,28.35928144
1979,4,5180763.471,1024.679443,17.85357143,31.91607143
1979,5,4902346.664,1024.405273,18.55725191,30.50572519
1979,6,6369150.891,1030.901855,17.13925926,31.50962963
1979,7,5140006.458,1024.044556,15.18592058,32.25270758
1979,8,528710.8526,1020.486023,23.46478873,31
1979,9,501899.438,1020.50061,7.223880597,32.02985075
1979,10,20956.87351,1019.062805,22.5,30
1979,11,3808426.286,1020.888367,19.07674419,28.3372093
1979,12,127792.944,1020.382813,32.77272727,28.59090909
1980,1,0,1017.551086,34,23.5
1980,2,11395.12405,1017.337585,33.6,20.8
1980,3,6610722.909,1029.083862,17.60518732,30.71902017
1980,4,4745637.54,1025.58374,17.42307692,27.63765182
1980,5,6288220.548,1027.209473,17.81297134,30.77677225
1980,6,6423800.071,1028.930908,17.20147059,31.46323529
1980,7,5126773.382,1029.411011,15.43626571,32.64991023
1980,8,4354523.431,1030.615845,15.37267081,33.71428571
1980,9,2991049.049,1022.889771,14.15249267,33.85923754
1980,10,1862654.973,1021.249817,16.65765766,29.57207207
1980,11,3071602.791,1024.074219,24.55988024,28.77844311
1980,12,769929.1998,1021.47052,30.67368421,28.02105263
1981,1,21996.26578,1018.651184,33.57142857,25.28571429
1981,2,804996.9444,1021.323364,30.18181818,30.19191919
1981,3,4369405.557,1022.800293,17.89800443,26.36585366
1981,4,6238287.277,1026.606201,18.20789074,30.74658574
1981,5,4423201.064,1024.199341,19.16527197,30.14225941
1981,6,4990190.278,1025.235596,17.16728625,31.3605948
1981,7,4878522.385,1030.352539,15.62056075,33.12523364
1981,8,4028640.416,1023.180054,14.44866071,33.625
1981,9,1595401.904,1021.185364,17.57591623,30.97905759
1981,10,2398668.437,1020.74646,17.07241379,32.57586207
1981,11,1041606.406,1021.793152,6.682926829,28.57723577
1981,12,1624636.906,1023.093811,26.84699454,27.31147541
1982,1,3536556.618,1024.057617,24.27604167,30.8671875
1982,2,968984.883,1021.351868,30.56410256,30.36752137
1982,3,2522503.764,1027.325684,8.471631206,32.0248227
1982,4,4182807.517,1026.745239,13.65948276,32.89224138
1982,5,5566134.85,1027.890503,16.66777963,32.10183639
1982,6,1596758.602,1021.329163,22.65608466,32.97883598
1982,7,4662029.371,1025.443481,15.99610895,33.38910506
1982,8,5077074.93,1026.479248,16.11796733,32.63520871
1982,9,3503825.161,1024.243286,15.22474747,34.23484848
1982,10,327657.7273,1021.613586,3.040816327,36.75510204
1982,11,85882.4692,1019.124146,14.33333333,27.61111111
1982,12,893148.3541,1021.012268,27.5047619,26.00952381
1983,1,21996.26578,1018.715027,33.375,24.75
1983,2,11227.33927,1018.815674,33.2,22.4
1983,3,22625.8765,1019.079468,17,21.75
1983,4,4299893.78,1026.786987,12.25646552,31.07543103
1983,5,6088136.624,1024.598145,17.99377916,30.69517885
1983,6,5532037.436,1025.612061,16.79794521,30.16952055
1983,7,5488492.672,1027.589355,15.86949153,32.03728814
1983,8,5105007.018,1029.414673,15.0615942,32.30434783
1983,9,4010089.513,1027.450928,13.73214286,33.55133929
1983,10,1972932.659,1023.095764,8.062222222,32
1983,11,1288320.578,1020.963257,25.21088435,25.76190476
1983,12,131178.7236,1020.421814,32.54545455,25.59090909
1984,1,4325697.671,1025.994263,24.24836601,29.07407407
1984,2,3023023.885,1023.329346,22.76666667,27.60606061
1984,3,2769205.979,1023.170288,24.8557047,27.41946309
